ID,Picture,Name_German,Name_English,Name_Japanese,Name_Japanese2,Generazion_Picture,Type,KP ,Status_Attack,Status_SpecialAttack,Status_Defense,Status_SpecialDefense,Status_Initiative,Status_Sum,Class,Height_m,Weight_kg,Color,Form,Name_Form
1,Bisasam ,Bisasam ,Bulbasaur ,Fushigidane ,フシギダネ ,1. Generation Gen1 ,PflanzeGift,294,197,229,197,229,189,1335,LC,0.7,6.9,green,Form 8: Vierbeiner ,Samen
2,Bisaknosp ,Bisaknosp ,Ivysaur ,Fushigisou ,フシギソウ ,1. Generation Gen1 ,PflanzeGift,324,223,259,225,259,219,1509,NFE,1,13,green,Form 8: Vierbeiner ,Samen
3,Bisaflor ,Bisaflor ,Venusaur ,Fushigibana ,フシギバナ ,1. Generation Gen1 ,PflanzeGift,364,263,299,265,299,259,1749,OU,2,100,green,Form 8: Vierbeiner ,Samen
4,Glumanda ,Glumanda ,Charmander ,Hitokage ,ヒトカゲ ,1. Generation Gen1 ,Feuer,282,203,219,185,199,229,1317,LC,0.6,8.5,red,Form 6: Zweibeiner mit Schweif ,Echse
5,Glutexo ,Glutexo ,Charmeleon ,Lizardo ,リザード ,1. Generation Gen1 ,Feuer,320,227,259,215,229,259,1509,NFE,1.1,19,red,Form 6: Zweibeiner mit Schweif ,Flamme
6,Glurak ,Glurak ,Charizard ,Lizardon ,リザードン ,1. Generation Gen1 ,FeuerFlug,360,267,317,255,269,299,1767,OU,1.7,90.5,red,Form 6: Zweibeiner mit Schweif ,Flamme
7,Schiggy ,Schiggy ,Squirtle ,Zenigame ,ゼニガメ ,1. Generation Gen1 ,Wasser,292,195,199,229,227,185,1327,LC,0.5,9,blue,Form 6: Zweibeiner mit Schweif ,Minikröte
8,Schillok ,Schillok ,Wartortle ,Kameil ,カメール ,1. Generation Gen1 ,Wasser,322,225,229,259,259,215,1509,NFE,1,22.5,blue,Form 6: Zweibeiner mit Schweif ,Kröte
9,Turtok ,Turtok ,Blastoise ,Kamex ,カメックス ,1. Generation Gen1 ,Wasser,362,265,269,299,309,255,1759,UU,1.6,85.5,blue,Form 6: Zweibeiner mit Schweif ,Panzer
10,Raupy ,Raupy ,Caterpie ,Caterpie ,キャタピー ,1. Generation Gen1 ,Käfer,294,159,139,169,139,189,1089,LC,0.3,2.9,green,Form 2: Schlangen-Form ,Wurm
11,Safcon ,Safcon ,Metapod ,Trancell ,トランセル ,1. Generation Gen1 ,Käfer,304,139,149,209,149,159,1109,NFE,0.7,9.9,green,Form 2: Schlangen-Form ,Kokon
12,Smettbo ,Smettbo ,Butterfree ,Butterfree ,バタフリー ,1. Generation Gen1 ,KäferFlug,324,189,279,199,259,239,1489,PU,1.1,32,white,Form 13: Geflügelte Insekten ,Falter
13,Hornliu ,Hornliu ,Weedle ,Beedle ,ビードル ,1. Generation Gen1 ,KäferGift,284,169,139,159,139,199,1089,LC,0.3,3.2,brown,Form 2: Schlangen-Form ,Raupe
14,Kokuna ,Kokuna ,Kakuna ,Cocoon ,コクーン ,1. Generation Gen1 ,KäferGift,294,149,149,199,149,169,1109,NFE,0.6,10,yellow,Form 2: Schlangen-Form ,Kokon
15,Bibor ,Bibor ,Beedrill ,Spear ,スピアー ,1. Generation Gen1 ,KäferGift,334,279,189,179,259,249,1489,UU,1,29.5,yellow,Form 13: Geflügelte Insekten ,Giftbiene
16,Taubsi ,Taubsi ,Pidgey ,Poppo ,ポッポ ,1. Generation Gen1 ,NormalFlug,284,189,169,179,169,211,1201,LC,0.3,1.8,brown,Form 9: Vogel-Form ,Kleinvogel
17,Tauboga ,Tauboga ,Pidgeotto ,Pigeon ,ピジョン ,1. Generation Gen1 ,NormalFlug,330,219,199,209,199,241,1397,NFE,1.1,30,brown,Form 9: Vogel-Form ,Vogel
18,Tauboss ,Tauboss ,Pidgeot ,Pigeot ,ピジョット ,1. Generation Gen1 ,NormalFlug,370,259,239,249,239,301,1657,UU,1.5,39.5,brown,Form 9: Vogel-Form ,Vogel
19,Rattfratz ,Rattfratz ,Rattata ,Koratta ,コラッタ ,1. Generation Gen1 ,Normal,264,211,149,169,169,243,1205,LC,0.3,3.5,purple,Form 8: Vierbeiner ,Maus
20,Rattikarl ,Rattikarl ,Raticate ,Ratta ,ラッタ ,1. Generation Gen1 ,Normal,314,261,199,219,239,293,1525,NU,0.7,18.5,brown,Form 8: Vierbeiner ,Maus
21,Habitak ,Habitak ,Spearow ,Onisuzume ,オニスズメ ,1. Generation Gen1 ,NormalFlug,284,219,161,159,161,239,1223,LC,0.3,2,brown,Form 9: Vogel-Form ,Kleinvogel
22,Ibitak ,Ibitak ,Fearow ,Onidrill ,オニドリル ,1. Generation Gen1 ,NormalFlug,334,279,221,229,221,299,1583,PU,1.2,38,brown,Form 9: Vogel-Form ,Pickvogel
23,Rettan ,Rettan ,Ekans ,Arbo ,アーボ ,1. Generation Gen1 ,Gift,274,219,179,187,207,209,1275,LC,2,6.9,purple,Form 2: Schlangen-Form ,Schlange
