Text ID	Context before	Query_item	Context after	Author	Decade	Genre	Source	Subgenre	Title	Year
4170214	lives on in credit default swaps , Internet bubbles ,	Harry Potter	's cultural dominance , and the resurgence of The Lord	McGlynn_ Mary	2010	Academic	Twentieth Century Literature	NA	Collectivism and Thatchers Classless Society in British Fiction and Film	2016
4174057	of " Clue University , " and Gilderoy Lockhart from	Harry Potter	's Hogwarts School of Witchcraft and Wizardry , among others	NA	2010	Academic	Inside Higher Ed	NA	New website seeks to register professors accused of liberal bias and ...	2016
4166069	eyes always on the edge of dreaming , and his	Harry Potter	glasses make them look bigger . Eyelashes so thick ,	Savanna Welles	2010	Fiction	The moon tells secrets :  a novel 	NA	The moon tells secrets :  a novel 	2016
4166403	you . " I sound like a casting reject from	Harry Potter	. When I pull out my chair , he lowers	Poppe_ Alex	2010	Fiction	The Massachusetts Review	NA	Family Matter	2016
4166705	holed up under the covers with a flashlight . The	Harry Potter	series fell seemingly overnight . Now she was on to	Markley_ Stephen	2010	Fiction	Iowa Review	NA	On the Phase Transitions of Methane Hydrates	2016
4166803	movies I worshipped - Star Wars , Star Trek ,	Harry Potter	- while dreaming of being able to create such marvelous	Di Filippo_ Paul	2010	Fiction	Fantasy & Science Fiction	NA	The Prince and the Pulpster	2016
4174374	a professional nerd , specializing in independent gaming , and	Harry Potter	. She 's written for online outlets since 2008 ,	NA	2010	Magazine	Engadget	NA	The year of Yahoos undoing	2016
4174407	a professional nerd , specializing in independent gaming , and	Harry Potter	. She 's written for online outlets since 2008 ,	NA	2010	Magazine	Engadget	NA	The creators of Doom and Quake reveal a new sci-fi shooter	2016
4174458	lunch with a girl and listening to her talk about	Harry Potter	for 20 minutes " which actually does n't sound like	NA	2010	Magazine	Salon	NA	Colbert goes After Trumpiness: His live RNC coverage revives the ...	2016
4174466	to smaller creators like Alex Carpenter ( known for his	Harry Potter	wizard rock band The Remus ) . Most have not	NA	2010	Magazine	Mashable	NA	Sex_ lies and YouTube: The predatory side of internet fame	2016
4174558	? Jim Broadbent , who has delighted audiences in the	Harry Potter	franchise and Moulin Rouge ! -- and snagged an Oscar	NA	2010	Magazine	Vanity Fair	NA	Who Is Jim Broadbent Playing in Game of Thrones Season 7?	2016
4174781	lunch with a girl and listening to her talk about	Harry Potter	for 20 minutes " which actually does n't sound like	NA	2010	Magazine	Salon	NA	5 worst right-wing moments of the week: Bill OReilly instructs black ...	2016
4174847	salary , benefits and stock options to write songs about	Harry Potter	to tour and produce wizard rock full time . A	NA	2010	Magazine	Mashable	NA	The wonderful_ weird world of wizard rock	2016
4174847	genre of music , wizard rock describes tunes written about	Harry Potter	from the perspective of various characters in the stories ,	NA	2010	Magazine	Mashable	NA	The wonderful_ weird world of wizard rock	2016
4174847	rock bands , active or archived , and like the	Harry Potter	books and movies , in 2016 the music is thriving	NA	2010	Magazine	Mashable	NA	The wonderful_ weird world of wizard rock	2016
4174847	music is thriving . Back in 2000 , DeGeorge read	Harry Potter	and began to think about what music the eponymous hero	NA	2010	Magazine	Mashable	NA	The wonderful_ weird world of wizard rock	2016
4174847	lot . " What they did n't know was that	Harry Potter	is the next Harry Potter , " Ross says about	NA	2010	Magazine	Mashable	NA	The wonderful_ weird world of wizard rock	2016
4174847	did n't know was that Harry Potter is the next	Harry Potter	, " Ross says about media 's attempts to dub	NA	2010	Magazine	Mashable	NA	The wonderful_ weird world of wizard rock	2016
4174847	and Potters embarked on a summer tour that included a	Harry Potter	convention with a largely academic focus . Draco and the	NA	2010	Magazine	Mashable	NA	The wonderful_ weird world of wizard rock	2016
4174847	The Moaning , now sings from the perspectives of various	Harry Potter	characters . Cheri Root The community is tight . met	NA	2010	Magazine	Mashable	NA	The wonderful_ weird world of wizard rock	2016
4174847	' I think people are just realizing now what true	Harry Potter	fans have known forever , which is it 's not	NA	2010	Magazine	Mashable	NA	The wonderful_ weird world of wizard rock	2016
4174847	from across the internet , and then back to the	Harry Potter	convention circuit in the summer for , where hundreds of	NA	2010	Magazine	Mashable	NA	The wonderful_ weird world of wizard rock	2016
4174944	lunch with a girl and listening to her talk about	Harry Potter	for 20 minutes " which actually does n't sound like	NA	2010	Magazine	Salon	NA	The dark side of viral fame: â€œMac and cheese kidâ€s troubles making ...	2016
4174954	lunch with a girl and listening to her talk about	Harry Potter	for 20 minutes " which actually does n't sound like	NA	2010	Magazine	Salon	NA	RIP_ big 4th of July movie: â€œIndependence Dayâ€ then and now and ...	2016
4175042	lunch with a girl and listening to her talk about	Harry Potter	for 20 minutes " which actually does n't sound like	NA	2010	Magazine	Salon	NA	Barbara Jordan was the Michelle Obama of 40 years ago: Both ...	2016
4175196	's just arrived online . Like some sort of inverse	Harry Potter	or a goth X-Men , the adaptation of the hit	NA	2010	Magazine	Nerdist	NA	GUARDIANS OF THE GALAXY VOL. 2 Wont Have Infinity Stones	2016
4175327	a professional nerd , specializing in independent gaming , and	Harry Potter	. She 's written for online outlets since 2008 ,	NA	2010	Magazine	Engadget	NA	Catch the first glimpse of Faraday Futures production EV	2016
4175684	this beautiful poster of artifacts from the wizarding world of	Harry Potter	( click to enlarge ) . " Magical Objects of	NA	2010	Magazine	Nerdist	NA	The Magical Items of HARRY POTTER Get a Comprehensive ...	2016
4175684	Magical Objects of the Wizarding World " is an official	Harry Potter	piece , because it was designed in conjunction with ,	NA	2010	Magazine	Nerdist	NA	The Magical Items of HARRY POTTER Get a Comprehensive ...	2016
4175684	q! q! q! q! q! q! q! q! q! a	Harry Potter	fan I am , some of these items are so	NA	2010	Magazine	Nerdist	NA	The Magical Items of HARRY POTTER Get a Comprehensive ...	2016
4175709	lunch with a girl and listening to her talk about	Harry Potter	for 20 minutes " which actually does n't sound like	NA	2010	Magazine	Salon	NA	I cant bear to watch HiddleSwift: The public spectacle of love-tweet ...	2016
4175714	at Comic-Con with panels for DC Comics , Marvel and	Harry Potter	prequel Fantastic Beats . DC also had a big day	NA	2010	Magazine	Hollywood Reporter	NA	Comic-Con: Highlights (and Lowlights) From Saturday	2016
4175714	Discovery . Eddie Redmayne brings magic returns to Hall H	Harry Potter	prequel Fantastic Beasts and Where to Find its first full	NA	2010	Magazine	Hollywood Reporter	NA	Comic-Con: Highlights (and Lowlights) From Saturday	2016
4175759	q! q! look wrong . Two notable exceptions : "	Harry Potter	" and " The Fault in Our Stars , "	NA	2010	Magazine	Huffington Post 	NA	My Love Affair With Piles And Piles Of Books	2016
4175818	movie , though -- and it 's definitely nothing like	Harry Potter	. " For me , the starting point was what	NA	2010	Magazine	Gizmodo	NA	How Doctor Strange Will Push the Boundaries of What a Superhero ...	2016
4175973	a professional nerd , specializing in independent gaming , and	Harry Potter	. She 's written for online outlets since 2008 ,	NA	2010	Magazine	Engadget	NA	The grandfather kings of nerdcore	2016
4176144	q! q! q! q! and listening to her talk about	Harry Potter	for 20 minutes " which actually does n't sound like	NA	2010	Magazine	Salon	NA	Dallas and Baton Rouge tragedies: A reminder of the troubled ...	2016
4176195	differently by the media , when compared with her male	Harry Potter	co-stars . At an event in New York this week	NA	2010	Magazine	Mashable	NA	Emma Watson recalls up-skirt photos taken of her as she turned 18	2016
